fss2kem02s115_set115101,"['rt60 0.69s', 'distance 36m']"
fcn4jbs00s042_set042037,"['rt60 1.7s', 'distance 44m']"
mkw4cws00s112_set112087,"['rt60 1.25s', 'distance 37m']"
mcn3jsg00s178_set178104,"['rt60 1.66s', 'distance 34m']"
fjn3jmj00s107_set107078,"['rt60 1.03s', 'distance 39m']"
fjb3lbh01s076_set076041,"['rt60 1.21s', 'distance 36m']"
mss3jhs00s093_set093082,"['rt60 0.84s', 'distance 37m']"
mss2shy01s067_set067060,"['rt60 0.71s', 'distance 43m']"
mcn3sgs00s036_set036054,"['rt60 1.38s', 'distance 47m']"
fkn1pjm00s017_set017057,"['rt60 1.79s', 'distance 41m']"
fss3lkh00s028_set028086,"['rt60 1.21s', 'distance 35m']"
fkw2khj02s122_set122003,"['rt60 0.91s', 'distance 43m']"
fjn3lbh00s063_set063022,"['rt60 0.86s', 'distance 42m']"
mjn2kgj00s083_set083101,"['rt60 1.17s', 'distance 47m']"
mcn3rhm00s151_set151052,"['rt60 1.61s', 'distance 39m']"
fss2ljs01s082_set082083,"['rt60 1.77s', 'distance 46m']"
fcn4ksj00s038_set038072,"['rt60 1.09s', 'distance 49m']"
mss3hsw00s074_set074008,"['rt60 0.59s', 'distance 40m']"
fkw3khj00s078_set078070,"['rt60 1.74s', 'distance 50m']"
fss5mjs00s057_set057035,"['rt60 0.93s', 'distance 41m']"
fcn4yyo00s181_set181064,"['rt60 0.81s', 'distance 42m']"
fjb4cbs00s173_set173077,"['rt60 1.08s', 'distance 48m']"
mkn3kgh00s111_set111101,"['rt60 0.91s', 'distance 36m']"
mss3cwl00s088_set088035,"['rt60 1.47s', 'distance 34m']"
mss2ksh03s003_set003025,"['rt60 0.98s', 'distance 38m']"
fjb2kmj00s044_set044018,"['rt60 0.95s', 'distance 43m']"
fss4ksh00s010_set010046,"['rt60 1.02s', 'distance 34m']"
fss1jsk00s092_set092084,"['rt60 0.61s', 'distance 47m']"
fss3pyj00s191_set191078,"['rt60 1.14s', 'distance 56m']"
fss3khs01s025_set025081,"['rt60 1.67s', 'distance 52m']"
fkb2lsj00s112_set112086,"['rt60 0.92s', 'distance 42m']"
mss3csg00s075_set075023,"['rt60 0.86s', 'distance 38m']"
mkw3jsm01s200_set200030,"['rt60 1.09s', 'distance 41m']"
fkn2jjs00s051_set051017,"['rt60 0.71s', 'distance 35m']"
fcn2kkh01s172_set172072,"['rt60 1.51s', 'distance 35m']"
fjn1ajh00s174_set174025,"['rt60 1.73s', 'distance 39m']"
fkb2smj00s059_set059022,"['rt60 0.77s', 'distance 47m']"
fjb3yhs00s012_set012101,"['rt60 1.18s', 'distance 53m']"
fkw1kke00s196_set196035,"['rt60 0.58s', 'distance 35m']"
mss3lky00s020_set020066,"['rt60 0.93s', 'distance 40m']"
mkn3koh01s048_set048094,"['rt60 1.5s', 'distance 40m']"
mss2ocs00s138_set138004,"['rt60 0.63s', 'distance 53m']"
fjn2ksh01s018_set018083,"['rt60 0.87s', 'distance 48m']"
fss2lch01s171_set171040,"['rt60 1.68s', 'distance 35m']"
fjb2kem01s095_set095051,"['rt60 0.62s', 'distance 47m']"
fjb2kem01s095_set095018,"['rt60 1.07s', 'distance 36m']"
fkn2jjs00s051_set051079,"['rt60 0.84s', 'distance 45m']"
mkw2kds00s044_set044044,"['rt60 1.18s', 'distance 45m']"
fss3jmk00s167_set167051,"['rt60 1.31s', 'distance 45m']"
fkw3lsh00s035_set035023,"['rt60 0.86s', 'distance 50m']"
mjn3jbc00s179_set179077,"['rt60 1.0s', 'distance 39m']"
fjn3pyh00s030_set030045,"['rt60 1.1s', 'distance 35m']"
mcn3jsg00s178_set178067,"['rt60 0.87s', 'distance 42m']"
mkw4ljg00s190_set190091,"['rt60 1.14s', 'distance 45m']"
fjb2ljh00s053_set053056,"['rt60 0.67s', 'distance 43m']"
fcb2yjh00s187_set187039,"['rt60 0.78s', 'distance 35m']"
mss3ktj00s025_set025090,"['rt60 0.95s', 'distance 45m']"
fjn3pyh00s030_set030019,"['rt60 0.94s', 'distance 44m']"
mjn2kgj00s083_set083067,"['rt60 1.58s', 'distance 47m']"
fcn2pkm00s169_set169084,"['rt60 0.86s', 'distance 38m']"
fkw1cek00s195_set195002,"['rt60 1.45s', 'distance 39m']"
fss3yje00s001_set001003,"['rt60 0.83s', 'distance 45m']"
fjn2jms00s150_set150074,"['rt60 1.54s', 'distance 34m']"
fcn3jsy00s013_set013104,"['rt60 0.7s', 'distance 55m']"
fss3jek00s085_set085101,"['rt60 0.79s', 'distance 44m']"
fjn3psy00s133_set133081,"['rt60 0.96s', 'distance 45m']"
fjn2ksh01s018_set018105,"['rt60 1.35s', 'distance 46m']"
fss4jsy03s143_set143086,"['rt60 0.82s', 'distance 41m']"
fkn2jsy02s065_set065083,"['rt60 1.68s', 'distance 40m']"
fkn3hmh00s144_set144043,"['rt60 1.25s', 'distance 43m']"
fjn4cos00s011_set011002,"['rt60 1.67s', 'distance 42m']"
mkn4jmg00s077_set077093,"['rt60 1.77s', 'distance 44m']"
mjn2hks01s102_set102005,"['rt60 1.62s', 'distance 40m']"
fss3yje00s001_set001001,"['rt60 1.53s', 'distance 52m']"
mjn3lgs00s171_set171026,"['rt60 1.79s', 'distance 50m']"
mss4ybh00s107_set107017,"['rt60 0.81s', 'distance 36m']"
fjn3kir00s014_set014051,"['rt60 0.83s', 'distance 47m']"
fss3khs01s025_set025088,"['rt60 0.53s', 'distance 52m']"
mcn4keg00s188_set188046,"['rt60 0.79s', 'distance 50m']"
mcn3lhj00s101_set101088,"['rt60 1.04s', 'distance 47m']"
fjn2jhj01s152_set152085,"['rt60 1.42s', 'distance 58m']"
fss3yhs01s027_set027062,"['rt60 1.56s', 'distance 43m']"
mcn1lsg00s010_set010014,"['rt60 1.54s', 'distance 46m']"
fcn3cks01s048_set048053,"['rt60 1.32s', 'distance 40m']"
mjn2jss00s068_set068071,"['rt60 1.56s', 'distance 51m']"
fss2kjs01s037_set037021,"['rt60 1.8s', 'distance 46m']"
mkn2kgy00s195_set195023,"['rt60 1.54s', 'distance 38m']"
mss3hck00s089_set089029,"['rt60 1.12s', 'distance 37m']"
mkn3kyh01s182_set182032,"['rt60 0.84s', 'distance 41m']"
fcn1sjr00s192_set192011,"['rt60 1.8s', 'distance 41m']"
mcn3ldi00s028_set028019,"['rt60 1.48s', 'distance 45m']"
mkn4phc00s115_set115057,"['rt60 1.45s', 'distance 38m']"
fss3pks00s029_set029008,"['rt60 0.8s', 'distance 47m']"
mkn4eds00s014_set014041,"['rt60 1.8s', 'distance 41m']"
mjn2pjh00s127_set127050,"['rt60 1.73s', 'distance 40m']"
mkn1swj00s078_set078083,"['rt60 1.4s', 'distance 46m']"
mjn4hbs00s170_set170103,"['rt60 1.45s', 'distance 39m']"
fkb2smj00s059_set059056,"['rt60 1.71s', 'distance 43m']"
fkw1cek00s195_set195059,"['rt60 1.51s', 'distance 43m']"
fss3khs01s025_set025089,"['rt60 1.09s', 'distance 42m']"
mcn1hsy00s192_set192068,"['rt60 1.3s', 'distance 40m']"
mjn2hhs01s016_set016053,"['rt60 1.79s', 'distance 41m']"
fss4scs00s008_set008095,"['rt60 0.98s', 'distance 51m']"
fjn1nyr00s190_set190020,"['rt60 1.13s', 'distance 52m']"
fss2ljk00s024_set024076,"['rt60 1.63s', 'distance 39m']"
fkw2lch00s047_set047008,"['rt60 1.75s', 'distance 39m']"
mss1kkm01s129_set129094,"['rt60 0.59s', 'distance 39m']"
fss3yjs00s072_set072014,"['rt60 1.73s', 'distance 40m']"
mcn2sdw00s175_set175097,"['rt60 0.86s', 'distance 40m']"
mjn3jhg00s059_set059056,"['rt60 1.75s', 'distance 55m']"
fjb3pka01s147_set147066,"['rt60 1.21s', 'distance 45m']"
mss3kah00s160_set160058,"['rt60 1.21s', 'distance 34m']"
fss4ysj00s111_set111014,"['rt60 1.72s', 'distance 52m']"
fcn2hij00s117_set117078,"['rt60 1.33s', 'distance 50m']"
mcn4pcg00s109_set109077,"['rt60 0.95s', 'distance 47m']"
fjn3kir00s014_set014009,"['rt60 1.55s', 'distance 37m']"
mjn3lwt00s172_set172042,"['rt60 1.12s', 'distance 40m']"
mss3kjs05s147_set147064,"['rt60 1.76s', 'distance 40m']"
fkn3kja00s160_set160052,"['rt60 1.48s', 'distance 46m']"
mjn2jyg01s141_set141072,"['rt60 1.38s', 'distance 35m']"
mss3jhs00s093_set093067,"['rt60 1.57s', 'distance 33m']"
mss3kyk00s140_set140020,"['rt60 0.88s', 'distance 34m']"
fkw4jsh00s154_set154012,"['rt60 1.37s', 'distance 44m']"
mkn4jmc00s166_set166038,"['rt60 1.0s', 'distance 40m']"
fkw1cek00s195_set195051,"['rt60 0.76s', 'distance 35m']"
fkn4lms02s186_set186062,"['rt60 1.51s', 'distance 47m']"
fcn5msh00s168_set168032,"['rt60 1.63s', 'distance 37m']"
mkn2kkm00s004_set004073,"['rt60 1.5s', 'distance 40m']"
mkw1shg00s184_set184045,"['rt60 1.26s', 'distance 42m']"
fkn3bra00s098_set098046,"['rt60 0.84s', 'distance 48m']"
mss2pgy00s066_set066056,"['rt60 1.36s', 'distance 34m']"
fkn3kja00s160_set160027,"['rt60 1.52s', 'distance 48m']"
fss3pmj00s128_set128080,"['rt60 1.38s', 'distance 41m']"
fkn3hsh00s156_set156001,"['rt60 0.53s', 'distance 35m']"
mss3cgh00s164_set164003,"['rt60 0.92s', 'distance 38m']"
mkn3kes00s165_set165054,"['rt60 0.92s', 'distance 39m']"
fcn3ljs00s081_set081022,"['rt60 0.81s', 'distance 38m']"
fkw2lch00s047_set047040,"['rt60 0.85s', 'distance 43m']"
mkn3ejs00s095_set095084,"['rt60 0.54s', 'distance 51m']"
fss3kmh00s015_set015030,"['rt60 1.76s', 'distance 39m']"
mss2shy01s067_set067080,"['rt60 1.76s', 'distance 50m']"
mkn3jip00s034_set034099,"['rt60 1.18s', 'distance 37m']"
mkw3lji01s191_set191075,"['rt60 0.83s', 'distance 48m']"
fss3hhy01s070_set070056,"['rt60 0.75s', 'distance 48m']"
mss1bsc00s012_set012053,"['rt60 0.97s', 'distance 47m']"
mkn3kog00s032_set032088,"['rt60 0.69s', 'distance 41m']"
mkw3pks01s149_set149082,"['rt60 0.77s', 'distance 45m']"
fkw3hhy00s039_set039087,"['rt60 0.82s', 'distance 37m']"
mss3hsw00s074_set074094,"['rt60 1.31s', 'distance 54m']"
fss4jse00s114_set114028,"['rt60 1.04s', 'distance 40m']"
mcn3ksj01s042_set042064,"['rt60 0.86s', 'distance 42m']"
fjn4jms01s153_set153071,"['rt60 0.6s', 'distance 35m']"
mjn3jbc00s179_set179081,"['rt60 0.84s', 'distance 43m']"
mjn3lyc00s086_set086059,"['rt60 1.28s', 'distance 49m']"
mkn3kgh00s111_set111099,"['rt60 1.76s', 'distance 55m']"
mkn4pgs00s139_set139038,"['rt60 0.76s', 'distance 47m']"
mss4hcy00s021_set021059,"['rt60 1.32s', 'distance 37m']"
fkn4shy00s193_set193032,"['rt60 1.37s', 'distance 42m']"
fkn2sjs01s123_set123096,"['rt60 0.82s', 'distance 45m']"
fkb3ksm00s121_set121019,"['rt60 1.49s', 'distance 39m']"
mkn4jmg00s077_set077104,"['rt60 1.07s', 'distance 44m']"
mss2nsm00s121_set121072,"['rt60 0.73s', 'distance 41m']"
mkn2ljw01s124_set124050,"['rt60 0.55s', 'distance 50m']"
fjb2khy00s083_set083023,"['rt60 1.33s', 'distance 38m']"
mcn3wjs00s105_set105011,"['rt60 0.88s', 'distance 41m']"
mss3kjh02s156_set156073,"['rt60 1.39s', 'distance 55m']"
fcn2hij00s117_set117014,"['rt60 1.31s', 'distance 47m']"
mss2csj00s080_set080053,"['rt60 1.75s', 'distance 47m']"
mkn3njm00s133_set133079,"['rt60 0.89s', 'distance 39m']"
fkw3yhj01s194_set194032,"['rt60 0.51s', 'distance 37m']"
mjn3kbs01s173_set173078,"['rt60 1.01s', 'distance 37m']"
fkw3khj00s078_set078040,"['rt60 1.54s', 'distance 44m']"
mcn1lsg00s010_set010074,"['rt60 0.79s', 'distance 44m']"
fss4sjs00s023_set023017,"['rt60 0.73s', 'distance 41m']"
fkn2kkw00s132_set132067,"['rt60 0.7s', 'distance 37m']"
fkn2ley00s124_set124027,"['rt60 0.65s', 'distance 46m']"
fjn2kel00s130_set130042,"['rt60 0.98s', 'distance 45m']"
mkn2mkn00s123_set123064,"['rt60 0.73s', 'distance 42m']"
mss2bjh00s001_set001008,"['rt60 1.24s', 'distance 48m']"
mkn4jmg00s077_set077016,"['rt60 1.58s', 'distance 53m']"
mjn2jss00s068_set068044,"['rt60 1.7s', 'distance 47m']"
fkn3yks00s097_set097090,"['rt60 0.73s', 'distance 55m']"
fjb2khy00s083_set083060,"['rt60 0.54s', 'distance 42m']"
fjb3ohs00s090_set090038,"['rt60 1.04s', 'distance 40m']"
mss2hsc00s064_set064035,"['rt60 1.54s', 'distance 38m']"
mcn3ykj00s033_set033076,"['rt60 0.69s', 'distance 52m']"
mcn2hsh02s057_set057078,"['rt60 1.73s', 'distance 38m']"
fkn3kky00s137_set137079,"['rt60 0.7s', 'distance 46m']"
fkw3hhy00s039_set039012,"['rt60 1.51s', 'distance 36m']"
mkn2ngw00s055_set055091,"['rt60 1.59s', 'distance 39m']"
fkn4lms02s186_set186037,"['rt60 1.62s', 'distance 38m']"
fss4lys00s136_set136030,"['rt60 1.23s', 'distance 50m']"
fcn3jsy00s013_set013032,"['rt60 1.73s', 'distance 43m']"
fjn1nyr00s190_set190063,"['rt60 1.33s', 'distance 55m']"
fcn2pkm00s169_set169101,"['rt60 1.47s', 'distance 43m']"
mcn1lsg00s010_set010075,"['rt60 0.86s', 'distance 45m']"
fkb2ahj00s046_set046075,"['rt60 1.61s', 'distance 57m']"
fkn2lho00s100_set100044,"['rt60 0.54s', 'distance 43m']"
fcn3cks01s048_set048044,"['rt60 1.78s', 'distance 33m']"
fjn4csh00s164_set164043,"['rt60 0.77s', 'distance 36m']"
mjn4lys01s158_set158035,"['rt60 1.3s', 'distance 41m']"
mcn2osh00s185_set185090,"['rt60 0.74s', 'distance 50m']"
mjn3lyc00s086_set086097,"['rt60 1.07s', 'distance 39m']"
mjn3lgs00s171_set171031,"['rt60 0.85s', 'distance 37m']"
mcn4aib00s197_set197020,"['rt60 1.21s', 'distance 39m']"
mjn2kgj00s083_set083018,"['rt60 1.4s', 'distance 33m']"
fss2kem02s115_set115042,"['rt60 1.26s', 'distance 36m']"
fkw2lsy01s166_set166102,"['rt60 0.6s', 'distance 46m']"
fkn2ley00s124_set124085,"['rt60 1.03s', 'distance 44m']"
fss2kem02s115_set115022,"['rt60 0.73s', 'distance 39m']"
mss3csg00s075_set075010,"['rt60 0.95s', 'distance 41m']"
mss2kjy00s002_set002055,"['rt60 1.74s', 'distance 57m']"
mjn3lgs00s171_set171021,"['rt60 0.73s', 'distance 49m']"
fcn5msh00s168_set168024,"['rt60 1.59s', 'distance 39m']"
mkn2htw00s134_set134047,"['rt60 0.96s', 'distance 49m']"
fkb3ksm00s121_set121020,"['rt60 1.7s', 'distance 37m']"
mjn2shr00s114_set114083,"['rt60 0.88s', 'distance 44m']"
fcn2hij00s117_set117100,"['rt60 0.68s', 'distance 43m']"
mjn4jha00s031_set031057,"['rt60 0.62s', 'distance 39m']"
mkn1swj00s078_set078100,"['rt60 1.66s', 'distance 47m']"
fcn3cks01s048_set048083,"['rt60 0.56s', 'distance 39m']"
mkn3kog00s032_set032081,"['rt60 1.65s', 'distance 47m']"
fkw3lsh00s035_set035061,"['rt60 0.79s', 'distance 50m']"
fss2kjs01s037_set037056,"['rt60 1.07s', 'distance 41m']"
mkw3hse00s159_set159095,"['rt60 0.64s', 'distance 45m']"
mkn3jyj02s183_set183005,"['rt60 1.58s', 'distance 53m']"
fjb3kjs02s062_set062029,"['rt60 1.38s', 'distance 44m']"
fkw4kem00s005_set005006,"['rt60 1.05s', 'distance 54m']"
mkn1kth00s137_set137029,"['rt60 0.87s', 'distance 41m']"
fss3yhs01s027_set027097,"['rt60 0.77s', 'distance 41m']"
fjn4csh00s164_set164062,"['rt60 1.74s', 'distance 37m']"
mjn2shr00s114_set114094,"['rt60 0.55s', 'distance 39m']"
fjb1shk00s183_set183052,"['rt60 1.42s', 'distance 37m']"
mss3jyj01s146_set146041,"['rt60 0.59s', 'distance 49m']"
mss3lky00s020_set020045,"['rt60 1.46s', 'distance 44m']"
mcn2jih00s186_set186082,"['rt60 0.98s', 'distance 51m']"
fss4jhk00s148_set148038,"['rt60 1.51s', 'distance 44m']"
mkw4hym00s199_set199004,"['rt60 1.49s', 'distance 38m']"
fjb2kmj00s044_set044073,"['rt60 1.22s', 'distance 55m']"
mcn4lbj00s113_set113086,"['rt60 1.13s', 'distance 41m']"
mss3kjy01s099_set099087,"['rt60 1.17s', 'distance 51m']"
mkn4eds00s014_set014008,"['rt60 1.24s', 'distance 40m']"
fkn4cks00s034_set034029,"['rt60 0.66s', 'distance 45m']"
fkw3khj00s078_set078061,"['rt60 1.13s', 'distance 54m']"
mkn4phc00s115_set115060,"['rt60 0.57s', 'distance 43m']"
fkn1pjm00s017_set017071,"['rt60 1.59s', 'distance 44m']"
mcn1lsg00s010_set010007,"['rt60 1.56s', 'distance 49m']"
mcn4aib00s197_set197018,"['rt60 1.04s', 'distance 43m']"
fcn3khs02s138_set138083,"['rt60 0.79s', 'distance 46m']"
mcn4pcg00s109_set109034,"['rt60 1.45s', 'distance 43m']"
fcn3sio00s088_set088077,"['rt60 0.61s', 'distance 51m']"
fcn2pkm00s169_set169039,"['rt60 0.99s', 'distance 42m']"
mcn2hsh02s057_set057060,"['rt60 1.75s', 'distance 45m']"
mss2ksh03s003_set003082,"['rt60 1.24s', 'distance 36m']"
mjn3kbs00s169_set169086,"['rt60 1.06s', 'distance 49m']"
mss2ksh05s065_set065052,"['rt60 1.69s', 'distance 39m']"
mjn2pjh00s127_set127018,"['rt60 0.52s', 'distance 44m']"
mkn3jyg00s073_set073036,"['rt60 0.92s', 'distance 45m']"
fcn1hje00s199_set199010,"['rt60 1.25s', 'distance 42m']"
fkn3hsh00s156_set156020,"['rt60 1.29s', 'distance 40m']"
mkn2kcy00s069_set069086,"['rt60 1.44s', 'distance 34m']"
mcn3lgh00s150_set150052,"['rt60 0.66s', 'distance 42m']"
mkn2yjs01s079_set079055,"['rt60 0.67s', 'distance 49m']"
fcn1hje00s199_set199041,"['rt60 0.83s', 'distance 50m']"
fjb2kem01s095_set095080,"['rt60 1.52s', 'distance 37m']"
fss3pks00s029_set029072,"['rt60 1.02s', 'distance 48m']"
fjn2kel00s130_set130054,"['rt60 1.11s', 'distance 50m']"
fkn3kja00s160_set160090,"['rt60 1.38s', 'distance 38m']"
mkn3njm00s133_set133071,"['rt60 1.59s', 'distance 38m']"
fss5mjs00s057_set057034,"['rt60 0.68s', 'distance 34m']"
fcn2kmk00s129_set129052,"['rt60 1.23s', 'distance 41m']"
fss3jmh00s099_set099045,"['rt60 1.65s', 'distance 42m']"
mjn3lji00s100_set100100,"['rt60 1.0s', 'distance 57m']"
fjn2pby00s155_set155011,"['rt60 1.46s', 'distance 41m']"
fkw3khj00s078_set078026,"['rt60 1.69s', 'distance 43m']"
fkw1cek00s195_set195078,"['rt60 1.4s', 'distance 53m']"
fkn1syl00s178_set178006,"['rt60 0.55s', 'distance 47m']"
mcn2lds00s135_set135027,"['rt60 0.69s', 'distance 52m']"
mcn1lch04s193_set193011,"['rt60 1.69s', 'distance 44m']"
fss3jmh00s099_set099028,"['rt60 0.5s', 'distance 39m']"
fcn2kmk00s129_set129044,"['rt60 1.23s', 'distance 40m']"
mkn4pgs00s139_set139012,"['rt60 0.58s', 'distance 44m']"
fjb2kmj00s044_set044013,"['rt60 0.64s', 'distance 44m']"
mkn3ejs00s095_set095025,"['rt60 1.8s', 'distance 45m']"
fjn2jhj01s152_set152017,"['rt60 1.38s', 'distance 39m']"
fjn4jms01s153_set153036,"['rt60 1.5s', 'distance 52m']"
fkn2hsj00s087_set087040,"['rt60 1.51s', 'distance 44m']"
fss3yjs00s072_set072099,"['rt60 1.38s', 'distance 35m']"
fjb4cbs00s173_set173085,"['rt60 0.82s', 'distance 54m']"
mss2bjh00s001_set001089,"['rt60 1.3s', 'distance 40m']"
mjn2hhs01s016_set016020,"['rt60 1.5s', 'distance 48m']"
mss4lsw00s045_set045040,"['rt60 1.71s', 'distance 33m']"
mcn3kgw00s053_set053019,"['rt60 1.21s', 'distance 56m']"
fcn5msh00s168_set168020,"['rt60 0.77s', 'distance 37m']"
fkb3ksm00s121_set121040,"['rt60 1.15s', 'distance 38m']"
mkw4cws00s112_set112027,"['rt60 1.26s', 'distance 54m']"
mjn3lwt00s172_set172085,"['rt60 0.7s', 'distance 37m']"
fkw3kcs00s198_set198043,"['rt60 0.93s', 'distance 49m']"
fkb3lkh01s161_set161069,"['rt60 0.76s', 'distance 36m']"
mss2hhg00s081_set081034,"['rt60 1.34s', 'distance 42m']"
mss3kah00s160_set160001,"['rt60 0.75s', 'distance 39m']"
fcn4ljs02s197_set197095,"['rt60 1.5s', 'distance 45m']"
mjn2hhs01s016_set016084,"['rt60 1.55s', 'distance 52m']"
mkn3lgn00s051_set051023,"['rt60 1.02s', 'distance 40m']"
fss1kej00s068_set068015,"['rt60 1.48s', 'distance 38m']"
fkb2smj00s059_set059023,"['rt60 1.44s', 'distance 36m']"
fjb4sye00s080_set080027,"['rt60 1.12s', 'distance 49m']"
mkn2mkn00s123_set123104,"['rt60 0.93s', 'distance 45m']"
fss2kjs00s032_set032072,"['rt60 1.58s', 'distance 37m']"
mcn4ybs00s062_set062093,"['rt60 0.73s', 'distance 53m']"
mkn3jws00s043_set043052,"['rt60 1.55s', 'distance 48m']"
fss4ksh00s010_set010007,"['rt60 0.6s', 'distance 35m']"
mss2kdh00s125_set125008,"['rt60 1.03s', 'distance 43m']"
mkn3jip00s034_set034017,"['rt60 1.66s', 'distance 43m']"
fjb3pjy00s106_set106071,"['rt60 1.06s', 'distance 51m']"
fss3hhy01s070_set070028,"['rt60 1.3s', 'distance 39m']"
mss3csg00s075_set075046,"['rt60 1.58s', 'distance 55m']"
fjn2jhj01s152_set152061,"['rt60 0.66s', 'distance 40m']"
mss4lsw00s045_set045020,"['rt60 1.53s', 'distance 36m']"
mcn3lgh00s150_set150082,"['rt60 0.64s', 'distance 38m']"
fss4jsy03s143_set143093,"['rt60 0.79s', 'distance 40m']"
mjn3lgs00s171_set171054,"['rt60 1.14s', 'distance 37m']"
fss4jse00s114_set114012,"['rt60 0.55s', 'distance 38m']"
fjn4cos00s011_set011059,"['rt60 0.67s', 'distance 40m']"
mkw3lwc00s091_set091064,"['rt60 0.82s', 'distance 45m']"
mss3cwl00s088_set088101,"['rt60 1.49s', 'distance 35m']"
mkn3lsw01s046_set046072,"['rt60 0.83s', 'distance 39m']"
mss3kyk00s140_set140097,"['rt60 1.49s', 'distance 52m']"
mcn4pcg00s109_set109080,"['rt60 1.74s', 'distance 40m']"
fss2kwi00s026_set026014,"['rt60 1.32s', 'distance 39m']"
fjn3lbh00s063_set063004,"['rt60 1.76s', 'distance 42m']"
mkn4phc00s115_set115027,"['rt60 1.56s', 'distance 39m']"
mcn4gjh00s194_set194013,"['rt60 1.48s', 'distance 42m']"
mss4ybh00s107_set107080,"['rt60 1.45s', 'distance 33m']"
mkn2ljw01s124_set124083,"['rt60 0.84s', 'distance 40m']"
fcb1jkh00s200_set200093,"['rt60 1.19s', 'distance 43m']"
mkn4jmg00s077_set077042,"['rt60 1.02s', 'distance 39m']"
fkn3pka00s073_set073088,"['rt60 1.18s', 'distance 41m']"
fss4peo00s004_set004059,"['rt60 1.07s', 'distance 36m']"
mss4ljw00s039_set039011,"['rt60 1.12s', 'distance 46m']"
fcn4yyo00s181_set181054,"['rt60 0.78s', 'distance 43m']"
fjn3lbh00s063_set063066,"['rt60 1.44s', 'distance 38m']"
fcn3lms00s110_set110059,"['rt60 1.29s', 'distance 42m']"
mkw4ljg00s190_set190033,"['rt60 1.31s', 'distance 42m']"
fjb3kjs02s062_set062095,"['rt60 1.28s', 'distance 39m']"
fss3jmh00s099_set099014,"['rt60 1.3s', 'distance 36m']"
mkn1swj00s078_set078096,"['rt60 0.51s', 'distance 44m']"
fjb3cks02s105_set105059,"['rt60 1.46s', 'distance 38m']"
mss4hwb00s030_set030078,"['rt60 0.83s', 'distance 40m']"
fkw3hhy00s039_set039102,"['rt60 1.48s', 'distance 49m']"
mss1kkm01s129_set129092,"['rt60 1.5s', 'distance 47m']"
fcn5msh00s168_set168040,"['rt60 1.62s', 'distance 48m']"
mss1kpj00s070_set070098,"['rt60 1.53s', 'distance 36m']"
fjn3jmj00s107_set107059,"['rt60 0.59s', 'distance 39m']"
fjb4cbs00s173_set173057,"['rt60 1.46s', 'distance 45m']"
fjb3yhs00s012_set012062,"['rt60 1.74s', 'distance 36m']"
mkn3jyj02s183_set183091,"['rt60 1.75s', 'distance 47m']"
mjn2kgj00s083_set083052,"['rt60 0.73s', 'distance 41m']"
fcn3jsy00s013_set013051,"['rt60 1.55s', 'distance 47m']"
fjn3psy00s133_set133085,"['rt60 1.06s', 'distance 45m']"
fss2chm00s009_set009017,"['rt60 0.89s', 'distance 48m']"
mcn4aib00s197_set197023,"['rt60 1.27s', 'distance 49m']"
fcn4jbs00s042_set042082,"['rt60 1.28s', 'distance 44m']"
fcn4jbs00s042_set042079,"['rt60 0.7s', 'distance 42m']"
mjn2hks01s102_set102047,"['rt60 0.53s', 'distance 46m']"
fkn3kky00s137_set137036,"['rt60 0.75s', 'distance 51m']"
fkn2jjs00s051_set051099,"['rt60 1.62s', 'distance 50m']"
fcn3sio00s088_set088092,"['rt60 1.66s', 'distance 36m']"
fkw3kma00s170_set170078,"['rt60 1.39s', 'distance 53m']"
mjn3kbs00s169_set169010,"['rt60 1.02s', 'distance 42m']"
fss2lch01s171_set171066,"['rt60 1.37s', 'distance 41m']"
mss3cwl00s088_set088099,"['rt60 1.6s', 'distance 35m']"
mcn2jih00s186_set186071,"['rt60 0.61s', 'distance 43m']"
fcb3hkp00s045_set045053,"['rt60 0.79s', 'distance 48m']"
mss3kyk00s140_set140071,"['rt60 0.72s', 'distance 42m']"
mkn3lsw01s046_set046102,"['rt60 0.83s', 'distance 42m']"
fcn3khs02s138_set138065,"['rt60 0.9s', 'distance 48m']"
fss2kem02s115_set115043,"['rt60 1.3s', 'distance 43m']"
mkn3kog00s032_set032002,"['rt60 1.23s', 'distance 47m']"
fcn4jbs00s042_set042028,"['rt60 0.99s', 'distance 60m']"
mkn4csw00s060_set060032,"['rt60 0.59s', 'distance 41m']"
fcb3hkp00s045_set045034,"['rt60 1.23s', 'distance 47m']"
mjn4ahs00s145_set145013,"['rt60 1.52s', 'distance 43m']"
mkw3pks01s149_set149079,"['rt60 1.7s', 'distance 41m']"
mjn2jyg01s141_set141017,"['rt60 1.33s', 'distance 38m']"
mjn3sjh01s163_set163009,"['rt60 1.52s', 'distance 37m']"
mjn3lyc00s086_set086054,"['rt60 0.51s', 'distance 43m']"
fss3kmh01s084_set084100,"['rt60 1.43s', 'distance 50m']"
fkw4jsh00s154_set154102,"['rt60 1.17s', 'distance 40m']"
mjn3shs00s167_set167096,"['rt60 0.55s', 'distance 35m']"
mkn1kth00s137_set137041,"['rt60 1.5s', 'distance 47m']"
mjn1chs00s198_set198053,"['rt60 1.76s', 'distance 40m']"
mss2msi00s122_set122049,"['rt60 0.63s', 'distance 47m']"
mkn3kjh03s161_set161096,"['rt60 0.88s', 'distance 40m']"
mcn3ldi00s028_set028096,"['rt60 0.79s', 'distance 54m']"
fkn3hsh00s156_set156027,"['rt60 1.45s', 'distance 45m']"
